レースID,馬番,開催場,TM1,TM2,TM3,着順
202301,1,中山,○,○,△,5.0
202301,2,中山,,,▲,2.0
202301,3,中山,△,△,,1.0
202301,4,中山,,,,12.0
202301,5,中山,▲,△,穴,3.0
202301,6,中山,,,,11.0
202301,7,中山,◎,△,△,4.0
202301,8,中山,,,,7.0
202301,9,中山,,,,13.0
202301,10,中山,,,穴,15.0
202301,11,中山,,,◎,9.0
202301,12,中山,△,,○,14.0
202301,13,中山,,▲,,8.0
202301,14,中山,△,,,16.0
202301,15,中山,△,,,6.0
202301,16,中山,,◎,,17.0
202301,17,中山,△,,,10.0
202302,1,中山,◎,○,◎,1.0
202302,2,中山,,,,8.0
202302,3,中山,△,,,7.0
202302,4,中山,,,,6.0
202302,5,中山,,,穴,9.0
202302,6,中山,,,,14.0
202302,7,中山,△,,,5.0
202302,8,中山,△,◎,,12.0
202302,9,中山,,,,13.0
202302,10,中山,△,△,△,3.0
202302,11,中山,,,穴,11.0
202302,12,中山,△,△,△,10.0
202302,13,中山,△,▲,▲,2.0
202302,14,中山,○,△,○,4.0
202303,1,中山,△,△,,12.0
202303,2,中山,▲,○,△,2.0
202303,3,中山,,,穴,7.0
202303,4,中山,,,,4.0
202303,5,中山,△,,,14.0
202303,6,中山,△,▲,◎,1.0
202303,7,中山,◎,△,△,8.0
202303,8,中山,△,◎,▲,6.0
202303,9,中山,,,,15.0
202303,10,中山,,,,16.0
202303,11,中山,,,穴,9.0
202303,12,中山,,,,13.0
202303,13,中山,,,,5.0
202303,14,中山,,,,11.0
202303,15,中山,○,△,○,3.0
202303,16,中山,,,,10.0
202304,1,中山,○,▲,○,4.0
202304,2,中山,,,,11.0
202304,3,中山,,,穴,6.0
202304,4,中山,△,△,△,1.0
202304,5,中山,,,,15.0
202304,6,中山,,,,7.0
202304,7,中山,,,,8.0
202304,8,中山,△,◎,▲,3.0
202304,9,中山,,,穴,14.0
202304,10,中山,,,,16.0
202304,11,中山,,,,10.0
202304,12,中山,,△,,9.0
202304,13,中山,◎,○,◎,2.0
202304,14,中山,,,,12.0
202304,15,中山,▲,,,13.0
202304,16,中山,△,△,△,5.0
202305,1,中山,,,,15.0
202305,2,中山,,△,△,13.0
202305,3,中山,△,,△,4.0
202305,4,中山,▲,,○,1.0
202305,5,中山,,,,9.0
202305,6,中山,,,,2.0
202305,7,中山,◎,○,◎,10.0
202305,8,中山,,,,12.0
202305,9,中山,,,,8.0
202305,10,中山,△,△,△,5.0
202305,11,中山,,△,,6.0
202305,12,中山,,,,14.0
202305,13,中山,△,▲,△,3.0
202305,14,中山,,,,11.0
202305,15,中山,○,◎,▲,16.0
202305,16,中山,△,,,7.0
202306,1,中山,,,穴,9.0
202306,2,中山,▲,◎,○,4.0
202306,3,中山,,,,6.0
202306,4,中山,,,△,3.0
202306,5,中山,△,△,,7.0
202306,6,中山,△,△,△,11.0
202306,7,中山,◎,▲,▲,2.0
202306,8,中山,,,△,8.0
202306,9,中山,○,○,◎,1.0
202306,10,中山,△,,,5.0
202306,11,中山,,△,穴,10.0
202307,1,中山,,,,2.0
202307,2,中山,△,△,△,16.0
202307,3,中山,▲,○,△,1.0
202307,4,中山,,,,5.0
202307,5,中山,,,,8.0
202307,6,中山,,,,6.0
202307,7,中山,○,▲,◎,9.0
202307,8,中山,,,,14.0
202307,9,中山,,,,12.0
202307,10,中山,△,,,15.0
202307,11,中山,△,◎,▲,4.0
202307,12,中山,△,△,,7.0
202307,13,中山,◎,△,○,10.0
202307,14,中山,,,,13.0
202307,15,中山,,,△,11.0
202307,16,中山,,,△,3.0
202308,1,中山,,,,5.0
202308,2,中山,◎,△,◎,1.0
202308,3,中山,△,○,,3.0
202308,4,中山,,,,17.0
202308,5,中山,▲,△,,2.0
202308,6,中山,△,,穴,8.0
202308,7,中山,△,◎,▲,4.0
202308,8,中山,△,△,△,12.0
202308,9,中山,,,,14.0
202308,10,中山,,,,13.0
202308,11,中山,,,,6.0
202308,12,中山,△,,△,10.0
202308,13,中山,,,穴,15.0
202308,14,中山,,,,16.0
202308,15,中山,,,,7.0
202308,16,中山,○,▲,○,9.0
202308,17,中山,,,,11.0
202309,1,中山,,,穴,11.0
202309,2,中山,△,,,8.0
202309,3,中山,,,,3.0
202309,4,中山,△,○,△,13.0
202309,5,中山,,,,4.0
202309,6,中山,△,△,◎,10.0
202309,7,中山,,,,9.0
202309,8,中山,,,,6.0
202309,9,中山,○,,△,2.0
202309,10,中山,,,,12.0
202309,11,中山,△,◎,○,5.0
202309,12,中山,▲,△,穴,1.0
202309,13,中山,,,,15.0
202309,14,中山,◎,△,,7.0
202309,15,中山,,,,14.0
202309,16,中山,,▲,▲,16.0
202310,1,中山,△,○,△,8.0
202310,2,中山,△,,△,7.0
202310,3,中山,△,,,6.0
202310,4,中山,,△,,11.0
202310,5,中山,○,◎,○,5.0
202310,6,中山,,,,4.0
202310,7,中山,,,,9.0
202310,8,中山,▲,,▲,10.0
202310,9,中山,△,△,△,3.0
202310,10,中山,,△,△,2.0
202310,11,中山,◎,▲,◎,1.0
202311,1,中山,,,穴,15.0
202311,2,中山,,,,14.0
202311,3,中山,,,▲,11.0
202311,4,中山,○,▲,△,5.0
202311,5,中山,◎,○,○,3.0
202311,6,中山,,,△,16.0
202311,7,中山,△,,,8.0
202311,8,中山,△,△,,7.0
202311,9,中山,△,△,,4.0
202311,10,中山,,△,,2.0
202311,11,中山,,,,6.0
202311,12,中山,△,◎,穴,1.0
202311,13,中山,,,,9.0
202311,14,中山,,,,13.0
202311,15,中山,▲,,◎,10.0
202311,16,中山,,,,12.0
202312,1,中山,△,,,2.0
202312,2,中山,,,,6.0
202312,3,中山,,,,15.0
202312,4,中山,△,◎,▲,9.0
202312,5,中山,,,,7.0
202312,6,中山,○,○,◎,8.0
202312,7,中山,,△,穴,13.0
202312,8,中山,△,,△,4.0
202312,9,中山,◎,△,○,5.0
202312,10,中山,,,,11.0
202312,11,中山,△,▲,△,3.0
202312,12,中山,,△,,1.0
202312,13,中山,,,,14.0
202312,14,中山,▲,,穴,10.0
202312,15,中山,,,,12.0
202313,1,中山,○,▲,△,1.0
202313,2,中山,▲,◎,△,4.0
202313,3,中山,◎,○,,3.0
202313,4,中山,△,△,▲,2.0
202313,5,中山,,,◎,13.0
202313,6,中山,,,,7.0
202313,7,中山,△,△,穴,6.0
202313,8,中山,△,,○,9.0
202313,9,中山,,,,11.0
202313,10,中山,△,,,12.0
202313,11,中山,,,,5.0
202313,12,中山,△,△,穴,8.0
202313,13,中山,,,,10.0
202314,1,中山,,,穴,11.0
202314,2,中山,,,,8.0
202314,3,中山,△,△,△,3.0
202314,4,中山,○,▲,▲,4.0
202314,5,中山,◎,○,◎,6.0
202314,6,中山,△,△,,9.0
202314,7,中山,▲,◎,,10.0
202314,8,中山,,,穴,7.0
202314,9,中山,△,△,○,2.0
202314,10,中山,△,,,1.0
202314,11,中山,,,△,5.0
202315,1,中山,,,,16.0
202315,2,中山,,,,10.0
202315,3,中山,,,,11.0
202315,4,中山,,,,15.0
202315,5,中山,○,○,◎,5.0
202315,6,中山,△,△,○,3.0
202315,7,中山,▲,△,△,2.0
202315,8,中山,,,,1.0
202315,9,中山,△,△,△,8.0
202315,10,中山,◎,▲,▲,4.0
202315,11,中山,,,,9.0
202315,12,中山,,,,14.0
202315,13,中山,,,,7.0
202315,14,中山,,,,13.0
202315,15,中山,△,,穴,12.0
202315,16,中山,△,◎,穴,6.0
202316,1,中山,△,△,△,1.0
202316,2,中山,,,,6.0
202316,3,中山,,,,10.0
202316,4,中山,,,,16.0
202316,5,中山,,◎,,4.0
202316,6,中山,○,△,○,2.0
202316,7,中山,△,,穴,5.0
202316,8,中山,△,,,12.0
202316,9,中山,,,穴,14.0
202316,10,中山,◎,▲,◎,13.0
202316,11,中山,,,,7.0
202316,12,中山,,△,△,9.0
202316,13,中山,,,,11.0
202316,14,中山,▲,○,▲,3.0
202316,15,中山,△,,,8.0
202316,16,中山,,,,15.0
202317,1,中山,,,,10.0
202317,2,中山,,,,9.0
202317,3,中山,△,,,15.0
202317,4,中山,▲,△,,4.0
202317,5,中山,,,穴,16.0
202317,6,中山,,,穴,7.0
202317,7,中山,△,◎,,11.0
202317,8,中山,,,,5.0
202317,9,中山,△,,,13.0
202317,10,中山,◎,○,◎,8.0
202317,11,中山,○,▲,▲,2.0
202317,12,中山,,,△,3.0
202317,13,中山,△,△,△,1.0
202317,14,中山,,,,14.0
202317,15,中山,,△,○,6.0
202317,16,中山,,,,12.0
202318,1,中山,△,,△,2.0
202318,2,中山,,,,
202318,3,中山,,,,10.0
202318,4,中山,,,,9.0
202318,5,中山,,,,7.0
202318,6,中山,▲,△,△,
202318,7,中山,△,△,○,3.0
202318,8,中山,,,,
202318,9,中山,◎,○,◎,1.0
202318,10,中山,△,▲,△,6.0
202318,11,中山,,,,4.0
202318,12,中山,△,◎,△,
202318,13,中山,○,△,▲,5.0
202318,14,中山,,,,8.0
202319,1,中山,◎,○,△,1.0
202319,2,中山,,,,2.0
202319,3,中山,▲,,,15.0
202319,4,中山,,,,4.0
202319,5,中山,,,穴,12.0
202319,6,中山,,,,16.0
202319,7,中山,,,穴,10.0
202319,8,中山,○,△,○,6.0
202319,9,中山,,,,11.0
202319,10,中山,△,,,9.0
202319,11,中山,△,,▲,7.0
202319,12,中山,△,△,,5.0
202319,13,中山,△,▲,◎,3.0
202319,14,中山,,,,13.0
202319,15,中山,△,△,△,14.0
202319,16,中山,,,,8.0
202319,17,中山,,◎,,17.0
202320,1,中山,△,◎,○,5.0
202320,2,中山,,,,15.0
202320,3,中山,,,,6.0
202320,4,中山,,,,8.0
202320,5,中山,△,▲,△,8.0
202320,6,中山,,,,16.0
202320,7,中山,,,,4.0
202320,8,中山,△,○,△,3.0
202320,9,中山,○,△,▲,7.0
202320,10,中山,,,,17.0
202320,11,中山,▲,,△,1.0
202320,12,中山,,,,11.0
202320,13,中山,◎,△,◎,2.0
202320,14,中山,△,,△,13.0
202320,15,中山,△,△,,14.0
202320,16,中山,,,,10.0
202320,17,中山,,,,12.0
202321,1,中山,,,,12.0
202321,2,中山,◎,▲,△,2.0
202321,3,中山,,,,15.0
202321,4,中山,,,,9.0
202321,5,中山,,,,16.0
202321,6,中山,△,,穴,1.0
202321,7,中山,,,,8.0
202321,8,中山,△,△,◎,5.0
202321,9,中山,,,,11.0
202321,10,中山,,◎,,4.0
202321,11,中山,△,,穴,6.0
202321,12,中山,○,△,○,7.0
202321,13,中山,,,,13.0
202321,14,中山,,,△,10.0
202321,15,中山,△,△,,14.0
202321,16,中山,▲,○,▲,3.0
202322,1,中山,○,▲,○,2.0
202322,2,中山,,△,,7.0
202322,3,中山,▲,◎,▲,1.0
202322,4,中山,△,,△,5.0
202322,5,中山,,,,8.0
202322,6,中山,◎,○,◎,10.0
202322,7,中山,,,,9.0
202322,8,中山,,,,3.0
202322,9,中山,,,穴,16.0
202322,10,中山,△,△,,4.0
202322,11,中山,△,,△,14.0
202322,12,中山,,,,15.0
202322,13,中山,,,,12.0
202322,14,中山,,,,11.0
202322,15,中山,,,,13.0
202322,16,中山,△,△,穴,6.0
202323,1,中山,△,△,△,1.0
202323,2,中山,△,,,9.0
202323,3,中山,◎,▲,▲,3.0
202323,4,中山,,,,4.0
202323,5,中山,,,穴,11.0
202323,6,中山,▲,,○,5.0
202323,7,中山,,,穴,12.0
202323,8,中山,,,,7.0
202323,9,中山,△,◎,,10.0
202323,10,中山,,△,△,6.0
202323,11,中山,△,△,△,8.0
202323,12,中山,○,○,◎,2.0
202324,1,中山,,,,6.0
202324,2,中山,△,△,△,3.0
202324,3,中山,△,▲,△,12.0
202324,4,中山,◎,△,◎,2.0
202324,5,中山,,,,11.0
202324,6,中山,,△,,4.0
202324,7,中山,,,,9.0
202324,8,中山,▲,,穴,10.0
202324,9,中山,,,,8.0
202324,10,中山,○,○,○,1.0
202324,11,中山,△,,穴,5.0
202324,12,中山,△,◎,▲,7.0
202325,1,中山,◎,▲,○,2.0
202325,2,中山,○,△,△,9.0
202325,3,中山,△,,△,3.0
202325,4,中山,,,穴,5.0
202325,5,中山,,,▲,6.0
202325,6,中山,,△,,14.0
202325,7,中山,▲,,,11.0
202325,8,中山,△,△,,12.0
202325,9,中山,△,○,◎,1.0
202325,10,中山,△,◎,穴,4.0
202325,11,中山,,,,10.0
202325,12,中山,,,,7.0
202325,13,中山,,,,13.0
202325,14,中山,△,,,8.0
202326,1,中山,◎,▲,◎,3.0
202326,2,中山,,,穴,16.0
202326,3,中山,,,,7.0
202326,4,中山,△,△,△,1.0
202326,5,中山,,,,6.0
202326,6,中山,○,◎,△,2.0
202326,7,中山,▲,△,,12.0
202326,8,中山,△,△,▲,5.0
202326,9,中山,,,,4.0
202326,10,中山,△,○,○,13.0
202326,11,中山,△,,,8.0
202326,12,中山,,,穴,11.0
202326,13,中山,,,,9.0
202326,14,中山,,,,10.0
202326,15,中山,,,,15.0
202326,16,中山,,,,14.0
202327,1,中山,△,△,▲,10.0
202327,2,中山,,,,3.0
202327,3,中山,,,,14.0
202327,4,中山,▲,○,△,2.0
202327,5,中山,,△,穴,6.0
202327,6,中山,◎,,穴,7.0
202327,7,中山,,,△,11.0
202327,8,中山,△,◎,,1.0
202327,9,中山,△,△,◎,5.0
202327,10,中山,,,,15.0
202327,11,中山,,,,12.0
202327,12,中山,,,,8.0
202327,13,中山,△,,,13.0
202327,14,中山,,,,9.0
202327,15,中山,○,▲,○,4.0
202328,1,中山,,,,12.0
202328,2,中山,◎,○,○,2.0
202328,3,中山,▲,▲,◎,3.0
202328,4,中山,,,,14.0
202328,5,中山,△,△,穴,5.0
202328,6,中山,△,,,6.0
202328,7,中山,,,,15.0
202328,8,中山,,,,13.0
202328,9,中山,,,穴,16.0
202328,10,中山,△,△,△,8.0
202328,11,中山,,△,△,11.0
202328,12,中山,○,◎,▲,1.0
202328,13,中山,,,,9.0
202328,14,中山,△,,,4.0
202328,15,中山,,,,7.0
202328,16,中山,,,,10.0
202329,1,中山,,◎,,11.0
202329,2,中山,◎,▲,◎,4.0
202329,3,中山,△,,△,2.0
202329,4,中山,△,△,穴,7.0
202329,5,中山,,,穴,14.0
202329,6,中山,,△,,16.0
202329,7,中山,△,,,10.0
202329,8,中山,▲,○,▲,13.0
202329,9,中山,△,,△,3.0
202329,10,中山,,,,15.0
202329,11,中山,○,,○,12.0
202329,12,中山,,,,6.0
202329,13,中山,,△,△,8.0
202329,14,中山,,,,1.0
202329,15,中山,,,,9.0
202329,16,中山,,,,5.0
202330,1,中山,△,△,,13.0
202330,2,中山,,,,7.0
202330,3,中山,▲,▲,▲,1.0
202330,4,中山,◎,○,◎,10.0
202330,5,中山,,,,9.0
202330,6,中山,△,,△,11.0
202330,7,中山,△,△,△,12.0
202330,8,中山,,△,,5.0
202330,9,中山,,,,6.0
202330,10,中山,,,,15.0
202330,11,中山,△,,○,2.0
202330,12,中山,,,,8.0
202330,13,中山,○,◎,△,14.0
202330,14,中山,,,,3.0
202330,15,中山,,,△,4.0
202330,16,中山,,,,16.0
202331,1,中山,,△,穴,2.0
202331,2,中山,◎,,◎,1.0
202331,3,中山,▲,◎,△,3.0
202331,4,中山,△,,,7.0
202331,5,中山,,○,穴,8.0
202331,6,中山,,,△,12.0
202331,7,中山,△,▲,,11.0
202331,8,中山,△,△,,9.0
202331,9,中山,,,,14.0
202331,10,中山,,,,15.0
202331,11,中山,,,,16.0
202331,12,中山,,,,10.0
202331,13,中山,,△,,4.0
202331,14,中山,○,,▲,5.0
202331,15,中山,△,,○,6.0
202331,16,中山,,,,13.0
202332,1,中山,▲,△,△,5.0
202332,2,中山,△,△,△,8.0
202332,3,中山,△,△,▲,2.0
202332,4,中山,△,○,◎,9.0
202332,5,中山,○,,△,11.0
202332,6,中山,,,,4.0
202332,7,中山,,,,6.0
202332,8,中山,,,,10.0
202332,9,中山,△,◎,△,7.0
202332,10,中山,◎,▲,○,1.0
202332,11,中山,,,,3.0
202333,1,中山,,,,8.0
202333,2,中山,△,◎,△,4.0
202333,3,中山,,△,穴,13.0
202333,4,中山,,,穴,14.0
202333,5,中山,△,△,▲,1.0
202333,6,中山,◎,○,◎,3.0
202333,7,中山,△,,○,6.0
202333,8,中山,,,,15.0
202333,9,中山,,,,12.0
202333,10,中山,,,,2.0
202333,11,中山,,,,16.0
202333,12,中山,▲,,△,7.0
202333,13,中山,,,,10.0
202333,14,中山,△,△,,11.0
202333,15,中山,○,▲,,5.0
202333,16,中山,,,,9.0
202334,1,中山,◎,△,▲,2.0
202334,2,中山,,,,6.0
202334,3,中山,,,,3.0
202334,4,中山,△,,,5.0
202334,5,中山,△,,,7.0
202334,6,中山,○,,○,1.0
202334,7,中山,,,,14.0
202334,8,中山,,,,11.0
202334,9,中山,△,△,◎,12.0
202334,10,中山,△,○,△,9.0
202334,11,中山,,,,10.0
202334,12,中山,▲,▲,△,8.0
202334,13,中山,,,,13.0
202334,14,中山,△,◎,穴,15.0
202334,15,中山,,△,穴,4.0
202335,1,中山,,,,12.0
202335,2,中山,,,,14.0
202335,3,中山,,△,,13.0
202335,4,中山,○,○,◎,1.0
202335,5,中山,,,,15.0
202335,6,中山,△,△,△,6.0
202335,7,中山,△,,,2.0
202335,8,中山,,,,10.0
202335,9,中山,▲,△,穴,9.0
202335,10,中山,,,,4.0
202335,11,中山,,,穴,11.0
202335,12,中山,,,,16.0
202335,13,中山,◎,▲,▲,5.0
202335,14,中山,,,,8.0
202335,15,中山,△,,△,7.0
202335,16,中山,△,◎,○,3.0
202336,1,中山,,,,5.0
202336,2,中山,△,△,△,4.0
202336,3,中山,,,,11.0
202336,4,中山,◎,○,,2.0
202336,5,中山,,,,12.0
202336,6,中山,○,▲,◎,6.0
202336,7,中山,,,穴,9.0
202336,8,中山,,,,7.0
202336,9,中山,△,△,穴,10.0
202336,10,中山,△,,▲,8.0
202336,11,中山,▲,◎,○,1.0
202336,12,中山,△,△,△,3.0
202337,1,中山,△,△,△,3.0
202337,2,中山,,,,5.0
202337,3,中山,,,穴,9.0
202337,4,中山,,,穴,6.0
202337,5,中山,◎,○,△,11.0
202337,6,中山,△,,◎,7.0
202337,7,中山,○,△,,10.0
202337,8,中山,△,▲,,8.0
202337,9,中山,▲,,,14.0
202337,10,中山,,△,▲,2.0
202337,11,中山,,,,15.0
202337,12,中山,,,,4.0
202337,13,中山,,,,13.0
202337,14,中山,△,◎,○,1.0
202337,15,中山,,,,12.0
202337,16,中山,,,,16.0
202338,1,中山,,,,14.0
202338,2,中山,,△,,11.0
202338,3,中山,△,,▲,5.0
202338,4,中山,,△,穴,7.0
202338,5,中山,△,,,3.0
202338,6,中山,,,穴,16.0
202338,7,中山,○,▲,○,10.0
202338,8,中山,△,,△,9.0
202338,9,中山,,,,13.0
202338,10,中山,,,,17.0
202338,11,中山,◎,○,◎,8.0
202338,12,中山,,,,4.0
202338,13,中山,△,,,6.0
202338,14,中山,▲,◎,△,2.0
202338,15,中山,,,,12.0
202338,16,中山,,,,15.0
202338,17,中山,△,△,,1.0
202339,1,中山,◎,▲,○,13.0
202339,2,中山,,,,6.0
202339,3,中山,,,,16.0
202339,4,中山,▲,◎,△,7.0
202339,5,中山,,,,14.0
202339,6,中山,,,,8.0
202339,7,中山,,,,15.0
202339,8,中山,△,,穴,3.0
202339,9,中山,○,○,◎,1.0
202339,10,中山,△,△,穴,4.0
202339,11,中山,,,,12.0
202339,12,中山,,,,5.0
202339,13,中山,△,△,▲,10.0
202339,14,中山,,,,11.0
202339,15,中山,,,,9.0
202339,16,中山,△,△,△,2.0
202340,1,中山,,,,15.0
202340,2,中山,,,,8.0
202340,3,中山,,,△,11.0
202340,4,中山,△,△,穴,6.0
202340,5,中山,,,,14.0
202340,6,中山,,,穴,10.0
202340,7,中山,,,,16.0
202340,8,中山,△,,,9.0
202340,9,中山,,,,13.0
202340,10,中山,○,▲,○,3.0
202340,11,中山,◎,○,◎,2.0
202340,12,中山,△,◎,▲,4.0
202340,13,中山,▲,△,△,1.0
202340,14,中山,,,,7.0
202340,15,中山,,,,5.0
202340,16,中山,△,△,△,12.0
202341,1,中山,,,,12.0
202341,2,中山,,,,7.0
202341,3,中山,,,穴,16.0
202341,4,中山,▲,◎,△,3.0
202341,5,中山,△,△,△,5.0
202341,6,中山,,,,15.0
202341,7,中山,△,△,○,8.0
202341,8,中山,,,,11.0
202341,9,中山,,,,14.0
202341,10,中山,△,,,6.0
202341,11,中山,△,,,4.0
202341,12,中山,,,穴,10.0
202341,13,中山,,△,,9.0
202341,14,中山,,,,13.0
202341,15,中山,○,○,▲,2.0
202341,16,中山,◎,▲,◎,1.0
202342,1,中山,,△,△,2.0
202342,2,中山,,,,16.0
202342,3,中山,○,◎,△,7.0
202342,4,中山,△,△,○,6.0
202342,5,中山,△,,▲,3.0
202342,6,中山,,△,,13.0
202342,7,中山,,,,14.0
