レースID,券種,組番,払戻金
202301,単勝,3,450円
202301,複勝,3,180円
202301,複勝,2,360円
202301,複勝,5,180円
202301,枠連,1-2,910円
202301,馬連,2-3,"3,690円"
202301,馬単,3-2,"6,320円"
202301,ワイド,2-3,"1,270円"
202301,ワイド,3-5,580円
202301,ワイド,2-5,"1,420円"
202301,3連複,2-3-5,"8,170円"
202301,3連単,3-2-5,"44,340円"
202302,単勝,1,140円
202302,複勝,1,110円
202302,複勝,13,170円
202302,複勝,10,180円
202302,枠連,1-8,190円
202302,馬連,1-13,480円
202302,馬単,1-13,590円
202302,ワイド,1-13,240円
202302,ワイド,1-10,320円
202302,ワイド,10-13,760円
202302,3連複,1-10-13,"1,390円"
202302,3連単,1-13-10,"3,120円"
202303,単勝,6,180円
202303,複勝,6,110円
202303,複勝,2,120円
202303,複勝,15,130円
202303,枠連,1-3,290円
202303,馬連,2-6,300円
202303,馬単,6-2,610円
202303,ワイド,2-6,190円
202303,ワイド,6-15,220円
202303,ワイド,2-15,400円
202303,3連複,2-6-15,600円
202303,3連単,6-2-15,"1,760円"
202304,単勝,4,650円
202304,複勝,4,200円
202304,複勝,13,140円
202304,複勝,8,150円
202304,枠連,2-7,"1,370円"
202304,馬連,4-13,"1,450円"
202304,馬単,4-13,"3,010円"
202304,ワイド,4-13,520円
202304,ワイド,4-8,640円
202304,ワイド,8-13,290円
202304,3連複,4-8-13,"2,060円"
202304,3連単,4-13-8,"12,250円"
202305,単勝,4,380円
202305,複勝,4,170円
202305,複勝,6,560円
202305,複勝,13,170円
202305,枠連,2-3,"3,380円"
202305,馬連,4-6,"6,810円"
202305,馬単,4-6,"9,270円"
202305,ワイド,4-6,"1,720円"
202305,ワイド,4-13,350円
202305,ワイド,6-13,"1,770円"
202305,3連複,4-6-13,"7,780円"
202305,3連単,4-6-13,"55,620円"
202306,単勝,9,200円
202306,複勝,9,110円
202306,複勝,7,140円
202306,複勝,4,490円
202306,枠連,6-7,290円
202306,馬連,7-9,370円
202306,馬単,9-7,620円
202306,ワイド,7-9,190円
202306,ワイド,4-9,910円
202306,ワイド,4-7,"1,670円"
202306,3連複,4-7-9,"3,070円"
202306,3連単,9-7-4,"8,610円"
202307,単勝,3,710円
202307,複勝,3,270円
202307,複勝,1,540円
202307,複勝,16,330円
202307,枠連,1-2,"2,040円"
202307,馬連,1-3,"6,670円"
202307,馬単,3-1,"12,230円"
202307,ワイド,1-3,"1,610円"
202307,ワイド,3-16,840円
202307,ワイド,1-16,"2,760円"
202307,3連複,1-3-16,"15,780円"
202307,3連単,3-1-16,"83,200円"
202308,単勝,2,460円
202308,複勝,2,190円
202308,複勝,5,300円
202308,複勝,3,220円
202308,枠連,1-3,"1,780円"
202308,馬連,2-5,"2,510円"
202308,馬単,2-5,"4,820円"
202308,ワイド,2-5,"1,100円"
202308,ワイド,2-3,630円
202308,ワイド,3-5,"1,380円"
202308,3連複,2-3-5,"4,790円"
202308,3連単,2-5-3,"23,960円"
202309,単勝,12,760円
202309,複勝,12,280円
202309,複勝,9,440円
202309,複勝,3,570円
202309,枠連,5-6,"2,750円"
202309,馬連,9-12,"5,860円"
202309,馬単,12-9,"11,100円"
202309,ワイド,9-12,"1,920円"
202309,ワイド,3-12,"2,070円"
202309,ワイド,3-9,"4,400円"
202309,3連複,3-9-12,"38,920円"
202309,3連単,12-9-3,"226,970円"
202310,単勝,11,440円
202310,複勝,11,140円
202310,複勝,10,200円
202310,複勝,9,170円
202310,枠連,8-8,"1,340円"
202310,馬連,10-11,"1,330円"
202310,馬単,11-10,"2,650円"
202310,ワイド,10-11,500円
202310,ワイド,9-11,430円
202310,ワイド,9-10,"1,010円"
202310,3連複,9-10-11,"2,660円"
202310,3連単,11-10-9,"13,390円"
202311,単勝,12,360円
202311,複勝,12,180円
202311,複勝,10,190円
202311,複勝,5,390円
202311,枠連,5-6,"1,200円"
202311,馬連,10-12,"1,770円"
202311,馬単,12-10,"2,650円"
202311,ワイド,10-12,710円
202311,ワイド,5-12,"1,070円"
202311,ワイド,5-10,"1,530円"
202311,3連複,5-10-12,"7,800円"
202311,3連単,12-10-5,"30,410円"
202312,単勝,12,"1,710円"
202312,複勝,12,550円
202312,複勝,1,340円
202312,複勝,11,210円
202312,枠連,1-7,"11,840円"
202312,馬連,1-12,"11,910円"
202312,馬単,12-1,"20,490円"
202312,ワイド,1-12,"3,210円"
202312,ワイド,11-12,"1,830円"
202312,ワイド,1-11,790円
202312,3連複,1-11-12,"17,410円"
202312,3連単,12-1-11,"110,200円"
202313,単勝,1,570円
202313,複勝,1,180円
202313,複勝,4,260円
202313,複勝,3,170円
202313,枠連,1-4,"1,300円"
202313,馬連,1-4,"2,220円"
202313,馬単,1-4,"4,290円"
202313,ワイド,1-4,830円
202313,ワイド,1-3,510円
202313,ワイド,3-4,830円
202313,3連複,1-3-4,"3,460円"
202313,3連単,1-4-3,"21,670円"
202314,単勝,10,"4,600円"
202314,複勝,10,"1,060円"
202314,複勝,9,520円
202314,複勝,3,440円
202314,枠連,7-8,"3,860円"
202314,馬連,9-10,"16,020円"
202314,馬単,10-9,"54,250円"
202314,ワイド,9-10,"2,850円"
202314,ワイド,3-10,"3,160円"
202314,ワイド,3-9,"1,550円"
202314,3連複,3-9-10,"38,180円"
202314,3連単,10-9-3,"463,920円"
202315,単勝,8,"8,090円"
202315,複勝,8,"1,430円"
202315,複勝,7,290円
202315,複勝,6,570円
202315,枠連,4-4,"18,360円"
202315,馬連,7-8,"17,180円"
202315,馬単,8-7,"53,020円"
202315,ワイド,7-8,"3,050円"
202315,ワイド,6-8,"6,030円"
202315,ワイド,6-7,"1,320円"
202315,3連複,6-7-8,"59,340円"
202315,3連単,8-7-6,"580,520円"
202316,単勝,1,"1,130円"
202316,複勝,1,220円
202316,複勝,6,140円
202316,複勝,14,170円
202316,枠連,1-3,700円
202316,馬連,1-6,"1,260円"
202316,馬単,1-6,"3,050円"
202316,ワイド,1-6,460円
202316,ワイド,1-14,770円
202316,ワイド,6-14,240円
202316,3連複,1-6-14,"1,980円"
202316,3連単,1-6-14,"15,000円"
202317,単勝,13,"1,780円"
202317,複勝,13,410円
202317,複勝,11,160円
202317,複勝,12,360円
202317,枠連,6-7,"2,230円"
202317,馬連,11-13,"2,860円"
202317,馬単,13-11,"7,460円"
202317,ワイド,11-13,840円
202317,ワイド,12-13,"1,940円"
202317,ワイド,11-12,980円
202317,3連複,11-12-13,"9,510円"
202317,3連単,13-11-12,"76,070円"
202318,単勝,9,330円
202318,複勝,9,130円
202318,複勝,1,480円
202318,複勝,7,190円
202318,枠連,1-6,"3,580円"
202318,馬連,1-9,"4,460円"
202318,馬単,9-1,"6,860円"
202318,ワイド,1-9,"1,280円"
202318,ワイド,7-9,360円
202318,ワイド,1-7,"1,100円"
202318,3連複,1-7-9,"3,360円"
202318,3連単,9-1-7,"25,430円"
202319,単勝,1,350円
202319,複勝,1,170円
202319,複勝,2,"1,190円"
202319,複勝,13,190円
202319,枠連,1-1,"11,400円"
202319,馬連,1-2,"12,020円"
202319,馬単,1-2,"18,310円"
202319,ワイド,1-2,"2,670円"
202319,ワイド,1-13,500円
202319,ワイド,2-13,"6,710円"
202319,3連複,1-2-13,"24,420円"
202319,3連単,1-2-13,"143,160円"
202320,単勝,11,"4,080円"
202320,複勝,11,890円
202320,複勝,13,230円
202320,複勝,8,250円
202320,枠連,6-7,"3,950円"
202320,馬連,11-13,"9,350円"
202320,馬単,11-13,"17,920円"
202320,ワイド,11-13,"2,730円"
202320,ワイド,8-11,"3,590円"
202320,ワイド,8-13,920円
202320,3連複,8-11-13,"24,070円"
202320,3連単,11-13-8,"242,350円"
202321,単勝,6,530円
202321,複勝,6,210円
202321,複勝,2,150円
202321,複勝,16,250円
202321,枠連,1-3,"1,180円"
202321,馬連,2-6,"1,230円"
202321,馬単,6-2,"2,690円"
202321,ワイド,2-6,510円
202321,ワイド,6-16,"1,110円"
202321,ワイド,2-16,780円
202321,3連複,2-6-16,"3,990円"
202321,3連単,6-2-16,"18,750円"
202322,単勝,3,300円
202322,複勝,3,160円
202322,複勝,1,180円
202322,複勝,8,600円
202322,枠連,1-2,700円
202322,馬連,1-3,830円
202322,馬単,3-1,"1,330円"
202322,ワイド,1-3,390円
202322,ワイド,3-8,"1,630円"
202322,ワイド,1-8,"2,450円"
202322,3連複,1-3-8,"9,620円"
202322,3連単,3-1-8,"29,720円"
202323,単勝,1,850円
202323,複勝,1,220円
202323,複勝,12,140円
202323,複勝,3,150円
202323,枠連,1-8,"1,130円"
202323,馬連,1-12,"1,700円"
202323,馬単,1-12,"4,060円"
202323,ワイド,1-12,600円
202323,ワイド,1-3,610円
202323,ワイド,3-12,330円
202323,3連複,1-3-12,"2,390円"
202323,3連単,1-12-3,"14,950円"
202324,単勝,10,340円
202324,複勝,10,140円
202324,複勝,4,150円
202324,複勝,2,170円
202324,枠連,4-7,630円
202324,馬連,4-10,700円
202324,馬単,10-4,"1,190円"
202324,ワイド,4-10,310円
202324,ワイド,2-10,470円
202324,ワイド,2-4,460円
202324,3連複,2-4-10,"1,360円"
202324,3連単,10-4-2,"5,820円"
202325,単勝,9,380円
202325,複勝,9,140円
202325,複勝,1,140円
202325,複勝,3,300円
202325,枠連,1-6,530円
202325,馬連,1-9,640円
